CC	CC Nombre	Región	Colonia	Delegacion_ Municipio	Ciudad	Estado
38171	Aeropuerto Internacional II	Centro Centro	Zona Federal (Aeropuerto Internal De La Ciudad De Mexico)	Venustiano Carranza	Ciudad De México	Ciudad De México
38172	Gran Sur	Centro Sur	Pedregal De Carrasco	Coyoacán	Ciudad De México	Ciudad De México
38173	Plaza Delta Planta Alta	Centro Centro	Narvarte	Benito Juárez	Ciudad De México	Ciudad De México
38174	Triangulo	Sur	Las Animas	Puebla	Puebla	Puebla
38176	Periferico Satélite DT	Centro Norte	Satelite 	Naucalpan 	Estado De México	Estado De México
38177	Valle Real 	Occidente	Jardin Real	Zapopan	Guadalajara	Jalisco
38178	Gomez Morin	Norte	Del Valle	San Pedro Garza	San Pedro Garza	Nuevo León
38179	Universidad Anáhuac	Centro Poniente	Lomas De Anahuac 	Huixquilucan	Estado De México	Estado De México
38180	Plaza San Pedro	Norte	Valle Del Campestre	San Pedro Garza	San Pedro Garza	Nuevo León
38182	Aeropuerto D8	Centro Centro	Zona Federal (Aeropuerto Internal De La Ciudad De Mexico)	Venustiano Carranza	Ciudad De México	Ciudad De México
38183	Cholula	Sur	Centro	San Andres Cholula	Puebla	Puebla
38184	Valle 401	Norte	Del Valle	San Pedro Garza	San Pedro Garza	Nuevo León
38185	Magnocentro	Centro Poniente	Lomas De Las Palmas 	Huixquilucan	Estado De México	Estado De México
38186	Arboledas	Centro Norte	Atizapan De Zaragoza 	Atizapan De Zaragoza 	Estado De México	Estado De México
38187	Nuevo Leon DT	Centro Centro	Hipodromo	Cuauhtémoc	Ciudad De México	Ciudad De México
38188	Palmas	Centro Poniente	Lomas De Chapultepec	Miguel Hidalgo	Ciudad De México	Ciudad De México
38189	Santa Fe Imax	Centro Poniente	Santa Fe	Cuajimalpa	Ciudad De México	Ciudad De México
38190	Costa Azul	Sur	Fracc. Costa Azul	Acapulco De Juarez	Acapulco	Guerrero
38191	Masarik Spencer	Centro Centro	Chapultepec Morales	Miguel Hidalgo	Ciudad De México	Ciudad De México
38192	Galerias Diana	Sur	Fracc. Magallanes	Acapulco De Juarez	Acapulco	Guerrero
38193	Metropoli Patriotismo	Centro Poniente	San Pedro De Los Pinos 	Benito Juárez	Ciudad De México	Ciudad De México
38194	Antara 	Centro Centro	Granada	Miguel Hidalgo	Ciudad De México	Ciudad De México
38195	Chapultepec	Occidente	Americana	Guadalajara	Guadalajara	Jalisco
38196	Galerias Mty	Norte	Vista Hermosa	Monterrey	Monterrey	Nuevo León
38197	Echegaray	Centro Norte	Azcapotzalco 	Naucalpan 	Estado De México	Estado De México
38198	Tec de Monterrey	Norte	Tecnologico	Monterrey	Monterrey	Nuevo León
38199	Cumbres	Norte	Cumbres	Monterrey	Monterrey	Nuevo León
38201	Galerias Valle Oriente Mty	Norte	Valle Del Mirador	Monterrey	Monterrey	Nuevo León
38202	Horacio	Centro Centro	Chapultepec Morales	Miguel Hidalgo	Ciudad De México	Ciudad De México
38203	Embassy Suites	Centro Centro	Tabacalera	Cuauhtémoc	Ciudad De México	Ciudad De México
38204	Plaza Hollywood Can	Sureste	Supermanzana 35	Benito Juárez	Cancún	Quintana Roo
38205	Lindavista	Centro Norte	Magdalena De Las Salinas	Gustavo A. Madero 	Ciudad De México	Ciudad De México
38206	Aeropuerto Vallarta	Occidente	Villa Las Flores	Puerto Vallarta Jalisco	Puerto Vallarta	Jalisco
38207	Lindavista II	Centro Norte	Magdalena De Las Salinas	Gustavo A. Madero 	Ciudad De México	Ciudad De México
38208	Miguel Angel de Quevedo II	Centro Sur	Villa Coyoacan	Coyoacán	Ciudad De México	Ciudad De México
38209	Paseo del  Carmen 	Sureste	Centro	Solidaridad	Playa Del Carmen	Quintana Roo
38210	Plaza Peninsula	Occidente	Zona Hotelera Norte	Puerto Vallarta Jalisco	Puerto Vallarta	Jalisco
38211	Plaza Caracol	Sureste	Zona Hotelera	Benito Juárez	Cancún	Quintana Roo
38212	La Isla II	Sureste	Zona Hotelera	Benito Juárez	Cancún	Quintana Roo
38213	Landmark	Occidente	Puerta De Hierro	Zapopan	Guadalajara	Jalisco
38214	Paseo Cancun	Sureste	Supermanzana 39	Benito Juárez	Cancún	Quintana Roo
38215	Apto Sala Internacional después de filtros 	Occidente	Guadalajara	Tlajomulco 	Guadalajara	Jalisco
38217	Playa Basico	Sureste	Centro	Solidaridad	Playa Del Carmen	Quintana Roo
38218	Las Fuentes	Occidente	Las Fuentes 	Zapopan	Guadalajara	Jalisco
38219	Irrigacion	Centro Centro	Irrigacion	Miguel Hidalgo	Ciudad De México	Ciudad De México
38220	Obelisco	Centro Centro	Polanco Chapultepec	Miguel Hidalgo	Ciudad De México	Ciudad De México
38221	Jardines Vallarta	Occidente	Jardines Vallarta	Zapopan	Guadalajara	Jalisco
38222	Domingo Diez	Sur	El Empleado	Cuernavaca	Cuernavaca	Morelos
38223	Vasconcelos	Norte	Los Sabinos	San Pedro Garza	San Pedro Garza	Nuevo León
38224	Revolucion	Norte	Fraccionamiento Country	Monterrey	Monterrey	Nuevo León
38225	Centro Comercial Santa Fe 2	Centro Poniente	Antigua Mina La Totolapa 	Cuajimalpa	Ciudad De México	Ciudad De México
38226	Via kiosko 515	Centro Sur	Granjas México	Iztacalco	Ciudad De México	Ciudad De México
38227	Lomas Plaza	Centro Poniente	Lomas De Chapultepec	Miguel Hidalgo	Ciudad De México	Ciudad De México
38228	Terranova	Occidente	Lomas De Providencia	Guadalajara	Guadalajara	Jalisco
38229	Zona Financiera	Occidente	Providencia	Guadalajara	Guadalajara	Jalisco
38230	ITEMS Edo de Mexico	Centro Norte	Atizapan De Zaragoza 	Atizapan De Zaragoza 	Estado De México	Estado De México
38231	Aeropuerto Cancun T3 Pa 	Sureste	Aeropuerto	Benito Juárez	Cancún	Quintana Roo
38232	Aeropuerto Cancun T3 Pb	Sureste	Aeropuerto	Benito Juárez	Cancún	Quintana Roo
38233	Toluca Colon	Centro Poniente	Cipres	Toluca	Toluca	Estado De México
38234	Fiesta Americana Reforma	Centro Centro	Centro De La Ciudad De Mexico Area I	Cuauhtémoc	Ciudad De México	Ciudad De México
38236	Morelia Campestre	Occidente	Col. Chapultepec Oriente	Morelia	Morelia	Michoacán
38237	Plaza del Sol	Occidente	Ciudad Del Sol	Zapopan	Guadalajara	Jalisco
38238	Plaza Cumbres	Norte	Cumbres las Palmas Residencial	Monterrey	Monterrey	Nuevo León
38239	Miguel Angel de Quevedo III	Centro Sur	Romero De Terreros	Coyoacán	Ciudad De México	Ciudad De México
38240	Amberes	Centro Centro	Juárez	Cuauhtémoc	Ciudad De México	Ciudad De México
38241	Galerias Guadalajara II	Occidente	La Estancia	Zapopan	Guadalajara	Jalisco
38242	Malecon Vallarta	Occidente	Centro	Puerto Vallarta Jalisco	Puerto Vallarta	Jalisco
38243	Paseo de los Heroes	Noroeste	Zona Urbana Rio Tijuana	Tijuana  	Tijuana  	Baja California
38244	Plaza Fiesta San Agustin  	Norte	Residencial San Agustin	San Pedro Garza	San Pedro Garza	Nuevo León
38245	Plaza Zenttro	Bajío	Valle Del Campestre 	León	León	Guanajuato
38246	Las Americas	Norte	Contry La Silla	Guadalupe	Monterrey	Nuevo León
38247	Plaza Mayor	Bajío	Valle Del Campestre	León	León	Guanajuato
