CC	CC Nombre	Región	Colonia	Delegacion_ Municipio	Ciudad	Estado
38403	Aeropuerto Cancun Exterior	Sureste	Aeropuerto	Benito Juárez	Cancún	Quintana Roo
38404	Varsovia	Centro Centro	Juárez	Cuauhtémoc	Ciudad De México	Ciudad De México
38405	Ejercito Nacional	Centro Centro	Granda	Miguel Hidalgo	Ciudad De México	Ciudad De México
38406	Medica Sur 	Centro Sur	Toriello Guerra	Tlalpan	Ciudad De México	Ciudad De México
38407	Huexotitla	Sur	Huexotitla	Puebla	Puebla	Puebla
38408	Belisario Dominguez	Sureste	Santa Elena	Tuxtla Gutierrez	Tuxtla Gutierrez	Chiapas
38409	Costa de oro	Sur	Fracc. Jardines Del Virginia	Boca Del Río	Boca Del Río	Veracruz
38410	Coatzacoalcos 	Sureste	Col. El Tesoro	Coatzacoalcos	Coatzacoalcos	Veracruz
38411	Torres Lindavista	Centro Norte	Torres Lindavista 	Gustavo A. Madero 	Ciudad De México	Ciudad De México
38412	Macroplaza Tijuana	Noroeste	Rio Tijuana 3Ra Etapa	Tijuana  	Tijuana  	Baja California
38413	Paseo Morelia	Occidente	Desarrollo Montaña Monarca	Morelia	Morelia	Michoacán
38414	Park Plaza	Centro Poniente	Santa Fe	Álvaro Obregón 	Ciudad De México	Ciudad De México
38415	Amsterdam	Centro Centro	Hipodromo Condesa 	Cuauhtémoc	Ciudad De México	Ciudad De México
38416	Mixcoac	Centro Poniente	San Juan 	Benito Juárez	Ciudad De México	Ciudad De México
38417	San Jose Insurgentes	Centro Sur	San Jose Insurgentes	Benito Juárez	Ciudad De México	Ciudad De México
38418	Plaza Oriente l	Centro Sur	Doctor Alfonso Ortiz Tirado	Iztapalapa	Ciudad De México	Ciudad De México
38419	Balbuena	Centro Sur	Jardin Balbuena	Venustiano Carranza	Ciudad De México	Ciudad De México
38420	Aeropuerto Cancun Satelite	Sureste	Aeropuerto	Benito Juárez	Cancún	Quintana Roo
38422	Corporativo HSBC	Centro Centro	Cuahtemoc	Cuauhtémoc	Ciudad De México	Ciudad De México
38423	Torre Wtc	Centro Centro	Napoles	Benito Juárez	Ciudad De México	Ciudad De México
38425	Aeropuerto Tijuana Interior	Noroeste	Nueva Tijuana	Tijuana  	Tijuana  	Baja California
38427	Plaza Satelite	Centro Norte	Satelite 	Naucalpan 	Estado De México	Estado De México
38428	Jardines del Pedregal	Centro Sur	Otra No Especificada En El Catalogo	Coyoacán	Ciudad De México	Ciudad De México
38429	Plaza Aragon	Centro Sur	Rinconada De Aragón 	Ecatepec De Morelos 	Estado De México	Estado De México
38430	Prisma Insurgentes	Centro Sur	San Jose Insurgentes	Benito Juárez	Ciudad De México	Ciudad De México
38431	Eduardo Molina	Centro Norte	Lardizabal Carrera	Gustavo A. Madero 	Ciudad De México	Ciudad De México
38432	Plaza Luis Cabrera	Centro Centro	Roma	Cuauhtémoc	Ciudad De México	Ciudad De México
38433	Bolsa Mexicana de Valores	Centro Centro	Cuauhtémoc	Cuauhtémoc	Ciudad De México	Ciudad De México
38434	Plaza Carso SLP	Norte Centro	San Luis Potosí	San Luis Potosí	San Luis Potosí	San Luis Potosí
38435	Paseo Montejo	Sureste	Centro	Merida	Merida	Yucatán
38436	Forum Tlaquepaque	Occidente	Col Lomas Del Paradero	Guadalajara	Guadalajara	Jalisco
38438	City Walk	Centro Poniente	Cruz Manca	Cuajimalpa	Ciudad De México	Ciudad De México
38439	Ángeles Interlomas	Centro Poniente	Valle De Las Palmas 	Huixquilucan	Estado De México	Estado De México
38440	Hospital Angeles Metropolitano	Centro Centro	Roma Sur	Cuauhtémoc	Ciudad De México	Ciudad De México
38441	Metepec Plaza del Parque	Centro Poniente	Santa Cruz	Metepec	Toluca	Estado De México
38442	Sor Juana	Centro Norte	Azcapotzalco 	Tlalnepantla	Estado De México	Estado De México
38443	Galerias Laguna	Norte Centro	El Fresno	Torreón	Torreón	Coahuila
38444	Hospital Angeles Puebla	Sur	Reserva Territorial Atlixcayotl	Puebla	Puebla	Puebla
38445	Samara II	Centro Poniente	Cd Santa Fe	Álvaro Obregón 	Ciudad De México	Ciudad De México
38446	Plaza Centinela Mexicali	Noroeste	Zona Industrial	Mexicali	Mexicali	Baja California
38447	Hospital Angeles del Pedregal	Centro Sur	Heroes De Padierna	Álvaro Obregón 	Ciudad De México	Ciudad De México
38448	Urban Center Xalapa	Sur	Col. Rafel Lucio	Xalapa	Xalapa	Veracruz
38449	Patio Patria	Occidente	Royal Country	Zapopan	Guadalajara	Jalisco
38450	Macro Ensenada	Noroeste	Carlos Pacheco	Ensenada	Ensenada	Baja California
38451	Altabrisa Tabasco	Sureste	1Ro De Mayo	Villahermosa	Villahermosa	Tabasco
38452	Parque Interlomas	Centro Poniente	Jesús Del Monte 	Huixquilucan	Estado De México	Estado De México
38453	Poliforum	Bajío	Oriental	León	León	Guanajuato
38454	Plaza Las Palmas	Norte Centro	San Jose Del Arenal 	Aguascalientes	Aguascalientes	Aguascalientes
38455	Torre Diamante	Centro Poniente	Tlaxala	Cuajimalpa	Ciudad De México	Ciudad De México
38456	Plaza las Flores	Centro Norte	Coacalco De Berriozábal 	Coacalco De Berriozábal 	Estado De México	Estado De México
38457	Plaza La Paz	Noroeste	Galerías La Paz	La Paz	La Paz	Baja California Sur
38458	El Rosario	Centro Norte	El Rosario	Azcapotzalco 	Ciudad De México	Ciudad De México
38459	Cd Obregon	Noroeste	Real Del Sol	Cajeme	Obregon	Sonora
38460	Santa Monica	Centro Norte	Tlanepantla	Tlalnepantla	Estado De México	Estado De México
38461	Fuente de Tritones	Centro Poniente	Lomas De Tecamachalco	Naucalpan 	Estado De México	Estado De México
38463	Uruguay	Centro Centro	Centro (Area 1)	Cuauhtémoc	Ciudad De México	Ciudad De México
38464	Corporativo Coyoacan	Centro Sur	Del Valle	Benito Juárez	Ciudad De México	Ciudad De México
38465	Juarez 32	Centro Centro	Centro (Area 5)	Cuauhtémoc	Ciudad De México	Ciudad De México
38466	Paseo Interlomas I	Centro Poniente	Jesús Del Monte 	Huixquilucan	Estado De México	Estado De México
38467	Constituyentes Queretaro	Bajío	Cimatario 	Querétaro	Querétaro	Querétaro
38468	Portal Churubusco 	Centro Sur	Sector Popular	Iztapalapa	Ciudad De México	Ciudad De México
38469	Galerias Coapa	Centro Sur	Residencial Acoxpa	Tlalpan	Ciudad De México	Ciudad De México
38470	Chapultepec Reforma	Centro Centro	San Miguel Chapultepec	Miguel Hidalgo	Ciudad De México	Ciudad De México
38471	Angeles Acoxpa 	Centro Sur	Ex Hacienda Coapa	Tlalpan	Ciudad De México	Ciudad De México
38472	Plaza America DT	Centro Sur	Ex Hda De Coapa	Coyoacán	Ciudad De México	Ciudad De México
38473	Outlet Leon	Bajío	Santa Anita	León	León	Guanajuato
38475	Satelite Centro Civico	Centro Norte	Satelite 	Naucalpan 	Estado De México	Estado De México
38476	Galerias Zacatecas	Norte Centro	Ciudad Argentum	Zacatecas	Zacatecas	Zacatecas
38477	Zentralia churubusco 	Centro Sur	Nueva Rosita	Iztapalapa	Ciudad De México	Ciudad De México
38478	Aeropuerto Los Cabos II	Noroeste	Las Veredas	Los Cabos	Los Cabos	Baja California Sur
38479	Palomar	Occidente	El Palomar	Tlajomulco 	Guadalajara	Jalisco
38480	Urban Center Juriquilla	Bajío	Jurica Acueducto Queretaro 	Querétaro	Querétaro	Querétaro
38481	Alfonso Reyes	Centro Centro	Hipodromo	Cuauhtémoc	Ciudad De México	Ciudad De México
38482	Pestalozzi	Centro Sur	Del Valle Sur	Benito Juárez	Ciudad De México	Ciudad De México
38483	Forum Buenavista	Centro Centro	Buenavista	Cuauhtémoc	Ciudad De México	Ciudad De México
38484	Gandhi	Centro Sur	Chimalista	Álvaro Obregón 	Ciudad De México	Ciudad De México
38485	Sendero Toluca	Centro Poniente	Parque Industrial Lerma	Lerma	Toluca	Estado De México
38486	Dorado veracruz	Sur	Fracc. El Estero	Boca Del Río	Boca Del Río	Veracruz
38487	Madero	Centro Centro	Centro De La Ciudad De Mexico Area 1	Cuauhtémoc	Ciudad De México	Ciudad De México
38488	City Center	Sureste	Benito Juarez	Merida	Merida	Yucatán
38489	Carretera Cancun Playa del Carmen DT	Sureste	Rancho La Esperanza	Benito Juárez	Cancún	Quintana Roo
38490	Citadela Chihuahua	Norte Centro	Sector 49	Chihuahua	Chihuahua	Chihuahua
38491	Gran Terraza Oblatos	Occidente	Col. Oblatos	Guadalajara	Guadalajara	Jalisco
38492	La Paz Soriana	Noroeste	Plaza Forjadores	La Paz	La Paz	Baja California Sur
38494	Pabellon Cuemanco	Centro Sur	Granjas Coapa	Xochimilco	Ciudad De México	Ciudad De México
38496	Casa Taxqueña 	Centro Sur	Campestre Churubusco	Coyoacán	Ciudad De México	Ciudad De México
38497	5 de Mayo	Centro Centro	Centro (Area 1)	Cuauhtémoc	Ciudad De México	Ciudad De México
38498	Montecitos Wtc	Centro Centro	Napoles	Benito Juárez	Ciudad De México	Ciudad De México
38499	Pennsylvania	Centro Poniente	Napoles	Benito Juárez	Ciudad De México	Ciudad De México
38501	Patio Universidad	Centro Sur	Xoco	Benito Juárez	Ciudad De México	Ciudad De México
38502	San Marcos DT	Centro Sur	San Marcos Huixtoco	Chalco	Estado De México	Estado De México
38503	Galerias Campehe	Sureste	San Francisco	campeche	San Francisco De Campeche	Campeche
38504	Insurgentes Wtc	Centro Centro	Napoles	Benito Juárez	Ciudad De México	Ciudad De México
38505	Aeropuerto Tijuana II	Noroeste	Nueva Tijuana	Tijuana  	Tijuana  	Baja California
38506	Altacia	Bajío	Cerrito De Jeréz	León	León	Guanajuato
38507	Espacio Vista del Valle	Centro Norte	Vista Del Valle 	Naucalpan 	Estado De México	Estado De México
38508	Ampliacion Santa Fe 	Centro Poniente	 Santa Fe	Cuajimalpa	Ciudad De México	Ciudad De México
38509	Paseo Chapultepec	Noroeste	Chapultepec	Tijuana  	Tijuana  	Baja California
38510	Magma Towers	Norte	Valle Oriente	San Pedro Garza	San Pedro Garza	Nuevo León
38511	Ciudad Jardin ll	Centro Sur	Jardin Bicentenario	Nezahualcóyotl	Estado De México	Estado De México
38512	Garden Santa Fe 	Centro Poniente	Centro Ciudad Santa Fe	Álvaro Obregón 	Ciudad De México	Ciudad De México
38513	San Lorenzo	Centro Sur	Del Valle	Benito Juárez	Ciudad De México	Ciudad De México
38515	Patio Ecatepec	Centro Norte	San Cristobal Centro 	Ecatepec De Morelos 	Estado De México	Estado De México
38516	Quinta Alegria	Sureste	Centro	Solidaridad	Playa Del Carmen	Quintana Roo
38517	Las Juntas DT	Occidente	Juntas	Puerto Vallarta Jalisco	Puerto Vallarta	Jalisco
38518	Galerias Mazatlan	Noroeste	Marina Mazatlan	Mazatlán	Mazatlan	Sinaloa
38519	Plaza del Parque Oaxaca	Sur	Reforma	Oaxaca 	Oaxaca	Oaxaca
38520	Celaya Campestre 	Bajío	Jardines De Celaya 	Celaya	Celaya	Guanajuato
38521	Aeropuerto Hermosillo 	Noroeste	La Manga	Hermosillo	Hermosillo	Sonora
38522	Rio Hudson	Centro Centro	Cuauhtemoc	Cuauhtémoc	Ciudad De México	Ciudad De México
38523	Malecon Vallarta II	Occidente	5 De Diciembre	Puerto Vallarta Jalisco	Puerto Vallarta	Jalisco
38524	Miguel Aleman DT	Norte	Huinala	Monterrey	Apodaca	Nuevo León
38525	Tuxtla II DT	Sureste	Patria Nueva 	Tuxtla Gutierrez	Tuxtla Gutierrez	Chiapas
38526	City Shops Del Valle	Centro Sur	Del Valle	Benito Juárez	Ciudad De México	Ciudad De México
38527	Camarones	Centro Norte	El Recreo	Azcapotzalco 	Ciudad De México	Ciudad De México
38529	Bosques de Aragon	Centro Norte	Pueblo De San Juan De Aragon	Gustavo A. Madero 	Ciudad De México	Ciudad De México
38530	Narvarte	Centro Poniente	Narvarte	Benito Juárez	Ciudad De México	Ciudad De México
38531	Plaza 505	Norte Centro	Fraccionamiento Santa Barbara	Torreón	Torreón	Coahuila
38532	One o One	Centro Poniente	Santa Fe	Cuajimalpa	Ciudad De México	Ciudad De México
38533	Reynosa	Norte	Fracc. Las Fuentes	Reynosa	Reynosa	Tamaulipas
38534	Patio Santa Fe 1	Centro Poniente	Peña Blanca	Álvaro Obregón 	Ciudad De México	Ciudad De México
38535	City Center Esmeralda	Centro Norte	Atizapan De Zaragoza 	Atizapan De Zaragoza 	Estado De México	Estado De México
38536	Zentralia Cd del Carmen	Sureste	Aeropuerto	Ciudad Del Carmen	Cd. Del Carmen	Campeche
38537	Gomez Palacio	Norte Centro	El Campestre	Gomez Palacio	Gomez Palacio	Durango
38538	Monte Pelvoux	Centro Poniente	Lomas-Virreyes	Miguel Hidalgo	Ciudad De México	Ciudad De México
38539	Plaza Del Valle Mexicali	Noroeste	Ejido Zacatecas	Mexicali	Mexicali	Baja California
38540	Cd Victoria	Norte	Valle De Aguayo	Cd Victoria	Cd Victoria	Tamaulipas
38541	Torre Polanco	Centro Centro	Nueva Anzures	Miguel Hidalgo	Ciudad De México	Ciudad De México
38542	Tepic Shopping Center	Occidente	Fresnos	Tepic Nayarit	Tepic	Nayarit
38543	Tlalpan Hospitales	Centro Sur	Bosques De Tetlameya	Coyoacán	Ciudad De México	Ciudad De México
38544	Picacho Ajusco	Centro Sur	Lomas De Padierna	Tlalpan	Ciudad De México	Ciudad De México
38545	Nuevo Sur	Norte	Ladrillera	Monterrey	Monterrey	Nuevo León
38546	Patio Claveria	Centro Norte	Claveria	Azcapotzalco 	Ciudad De México	Ciudad De México
38547	Carr Toluca Mexico KM48	Centro Poniente	Lomas De Amomolulco	Lerma	Toluca	Estado De México
38549	Galerias Insurgentes	Centro Poniente	Del Valle	Benito Juárez	Ciudad De México	Ciudad De México
38550	Plaza Mallorca	Sureste	La Choca	Villahermosa	Villahermosa	Tabasco
38551	Xalapa animas	Sur	Fracc. Las Animas	Xalapa	Xalapa	Veracruz
38552	Plaza Mayor II	Bajío	Valle Del Campestre	León	León	Guanajuato
38553	Paseo Interlomas II	Centro Poniente	Jesús Del Monte 	Huixquilucan	Estado De México	Estado De México
38554	Forum Buenavista II	Centro Centro	Buenavista	Cuauhtémoc	Ciudad De México	Ciudad De México
38555	Capital Reforma	Centro Centro	Juárez	Cuauhtémoc	Ciudad De México	Ciudad De México
38556	Tuxpan 53	Centro Centro	Roma Sur	Cuauhtémoc	Ciudad De México	Ciudad De México
38557	Rio San Joaquin	Centro Centro	10 De Abril	Miguel Hidalgo	Ciudad De México	Ciudad De México
38558	Roma Sur	Centro Centro	Roma Sur	Cuauhtémoc	Ciudad De México	Ciudad De México
38559	Antea 	Bajío	Ejido El Salitre 	Querétaro	Querétaro	Querétaro
38560	Renato Leduc	Centro Sur	Toriello Guerra	Tlalpan	Ciudad De México	Ciudad De México
38561	Parque Toreo	Centro Norte	Lomas De Sotelo	Naucalpan 	Estado De México	Estado De México
38562	Tulum Magico	Sureste	Ruinas	Tulum	Tulum	Quintana Roo
38563	One Silao	Bajío	Rancho San Antonio Texas	Silao	Silao	Guanajuato
38564	Plaza QU	Norte	Cumbres Madeira	Monterrey	Monterrey	Nuevo León
38565	Blvd Morelos DT	Noroeste	Col. Cartel Xv	Hermosillo	Hermosillo	Sonora
38566	Ventura Puente	Occidente	Col. Ventura Puente	Morelia	Morelia	Michoacán
38567	Aragon II	Centro Sur	Rinconada De Aragón 	Ecatepec De Morelos 	Estado De México	Estado De México
38568	Av Stim	Centro Poniente	Lomas Del Chamizal	Cuajimalpa	Ciudad De México	Ciudad De México
38569	Plaza Universidad	Centro Sur	Santa Cruz Atoyac 	Benito Juárez	Ciudad De México	Ciudad De México
38570	Universidad 767	Centro Sur	Del Valle Sur	Benito Juárez	Ciudad De México	Ciudad De México
38571	Jolie Place	Centro Sur	Jardínes Del Pedregal	Álvaro Obregón 	Ciudad De México	Ciudad De México
38572	Aeropuerto Mty TA SUE	Norte	Apodaca	Apodaca	Monterrey	Nuevo León
38573	La Lomita	Noroeste	Col. Guadalupe	Culiacán	Culiacán	Sinaloa
38574	Lowes	Noroeste	Juntas De Humaya	Culiacán	Culiacán	Sinaloa
38575	Real Center 	Occidente	Residencial Poniente	Zapopan	Guadalajara	Jalisco
38576	Aeropuerto Gdl Llegadas Nacionales	Occidente	Guadalajara	Tlajomulco 	Guadalajara	Jalisco
38577	Galerias Hermanos Serdan	Sur	Rancho Posadas	Puebla	Puebla	Puebla
38578	Galerias Toluca	Centro Poniente	Col Santa Ana Tlapaltitlan	Toluca	Toluca	Estado De México
38579	Division del Norte II	Centro Sur	Portales	Benito Juárez	Ciudad De México	Ciudad De México
38580	Pasaje San Jeronimo	Centro Sur	San Jerónimo Lídice	Magdalena Contreras	Ciudad De México	Ciudad De México
38581	Parques BBVA	Centro Centro	Anahuac I	Miguel Hidalgo	Ciudad De México	Ciudad De México
38582	Paseo Sendero	Norte	Centenario	Monterrey	Escobedo	Nuevo León
38583	Andamar	Sur	Col. Costa De Oro	Boca Del Río	Boca Del Río	Veracruz
38584	Plaza Sienna	Norte	Paseo De Las Privanzas	Monterrey	Monterrey	Nuevo León
38585	Oasis II	Centro Sur	Romero De Terreros	Coyoacán	Ciudad De México	Ciudad De México
38586	Cozumel Pama	Sureste	Centro	Cozumel	Cozumel	Quintana Roo
38587	Plateros	Centro Poniente	Lomas De Plateros	Álvaro Obregón 	Ciudad De México	Ciudad De México
38588	Plaza los robles	Occidente	Los Robles	Zapopan	Guadalajara	Jalisco
38589	Centro Maya Dt	Sureste	Ejidal	Solidaridad	Playa Del Carmen	Quintana Roo
38590	Parque Toreo II	Centro Norte	Lomas De Sotelo	Naucalpan 	Estado De México	Estado De México
38591	Tampico Universidad	Norte	Lindavista	Tampico	Tampico	Tamaulipas
38592	Ciudad Granjas	Occidente	Ciudad Granjas	Zapopan	Guadalajara	Jalisco
38593	City Express Aguascalientes	Norte Centro	San Pedro 	Aguascalientes	Aguascalientes	Aguascalientes
38594	Carretera Mexico  Puebla 	Centro Sur	Ixtapaluca	Ixtapaluca	Estado De México	Estado De México
38596	Esfera City Center	Norte	La Rioja	Monterrey	Monterrey	Nuevo León
38597	Emerson	Centro Centro	Chapultepec Morales	Miguel Hidalgo	Ciudad De México	Ciudad De México
38598	Plaza Palmares	Noroeste	Floresta	Culiacán	Culiacán	Sinaloa
38599	Adagio	Sur	Lomas De Angelópolis Ii	San Andres Cholula	Puebla	Puebla
38600	Torre BBVA	Centro Centro	Juarez	Cuauhtémoc	Ciudad De México	Ciudad De México
38601	Paseo Quintana	Bajío	Alamos 3Ra Sección 	Querétaro	Querétaro	Querétaro
38602	Obrero Mundial	Centro Centro	Piedad Narvarte 	Benito Juárez	Ciudad De México	Ciudad De México
38603	Metropolitan	Norte	Del Valle Oriente	San Pedro Garza	Monterrey	Nuevo León
38604	Cosmopol	Centro Norte	Coacalco De Berriozábal 	Coacalco De Berriozábal 	Estado De México	Estado De México
38605	Plaza Cuicuilco	Centro Sur	Peña Pobre	Tlalpan	Ciudad De México	Ciudad De México
38606	TlalnepantlaCarso	Centro Norte	Azcapotzalco 	Tlalnepantla	Estado De México	Estado De México
38607	Carretera  Mexico Toluca KM42	Centro Poniente	Colonia Ortiz Rubio	Ocoyoacac	Toluca	Estado De México
38608	Aeropuerto Mty TB SUE	Norte	Apodaca	Apodaca	Monterrey	Nuevo León
38609	Nogales Mall	Noroeste	El Greco	Nogales	Nogales	Sonora
38610	5ta Avenida	Sureste	Centro	Solidaridad	Playa Del Carmen	Quintana Roo
38611	Plaza Basica	Centro Sur	Ejidos Del Moral	Iztapalapa	Ciudad De México	Ciudad De México
38612	Antara II	Centro Centro	Granada	Miguel Hidalgo	Ciudad De México	Ciudad De México
38613	Xola	Centro Centro	Narvarte Poniente	Benito Juárez	Ciudad De México	Ciudad De México
38614	Uruapan II DT	Occidente	Col.Los Angeles	Uruapan	Uruapan	Michoacán
38615	Grand San Jeronimo	Centro Sur	Tizapán	Álvaro Obregón 	Ciudad De México	Ciudad De México
38617	Axomiatla	Centro Poniente	Villa Verdun	Álvaro Obregón 	Ciudad De México	Ciudad De México
38618	Plaza Peninsula DT	Noroeste	Plaza Península	Los Cabos	Los Cabos	Baja California Sur
38619	Calzada de Tlalpan	Centro Sur	Nativitas	Benito Juárez	Ciudad De México	Ciudad De México
38620	Oasis I	Centro Sur	Romero De Terreros	Coyoacán	Ciudad De México	Ciudad De México
38621	Paseo Durango	Norte Centro	Col. Esperanza	Victoria De Durango	Victoria De Durango	Durango
38622	Aeropuerto Culiacan 	Noroeste	Bachigualato	Culiacán	Culiacán	Sinaloa
38624	GuadalajaraCentro	Occidente	Col. Centro	Guadalajara	Guadalajara	Jalisco
38625	Tezoquipa 	Centro Sur	La Joya	Tlalpan	Ciudad De México	Ciudad De México
38626	Aeropuerto Tijuana Exterior	Noroeste	Nueva Tijuana	Tijuana  	Tijuana  	Baja California
38627	Moliere 222	Centro Centro	Polanco I Seccion	Miguel Hidalgo	Ciudad De México	Ciudad De México
38629	Town Center Juriquilla	Bajío	El Salitre 	Querétaro	Querétaro	Querétaro
38630	Galerias las Torres Leon	Bajío	San José Del Consuelo	León	León	Guanajuato
38631	Plaza Cibeles 	Bajío	Ejido Irapuato 	Irapuato	Irapuato	Guanajuato
38632	Madero II	Centro Centro	Centro De La Ciudad De Mexico Area 3	Cuauhtémoc	Ciudad De México	Ciudad De México
38633	Carretera Toluca Mexico (plaza cedros DT)	Centro Poniente	Cuajimalpa 	Cuajimalpa	Ciudad De México	Ciudad De México
38634	Cuernavaca Centro	Sur	Centro	Cuernavaca	Cuernavaca	Morelos
38635	Punto Polanco	Centro Centro	Granada	Miguel Hidalgo	Ciudad De México	Ciudad De México
38636	Lázaro Cárdenas	Occidente	Octavo Sector de Fidelac	Lazaro Cardenas	Lazaro Cardenas	Michoacán
38637	Tlalpan Nativitas 	Centro Sur	Nativitas	Benito Juárez	Ciudad De México	Ciudad De México
38638	Galerias Acapulco	Sur	Fracc. Magallanes	Acapulco De Juarez	Acapulco	Guerrero
38639	Kukulkan DT	Sureste	Zona Hotelera	Benito Juárez	Cancún	Quintana Roo
38640	Alcade 	Occidente	Gaudalupe Distrito Urbano	Guadalajara	Guadalajara	Jalisco
38641	Sala B Aeropuerto Cancun	Sureste	Aeropuerto	Benito Juárez	Cancún	Quintana Roo
38642	Carretera Mexico Queretaro	Bajío	San Isidro Miranda 	El Marqués	Querétaro	Querétaro
38643	Monclova	Norte Centro	Del Prado	Monclova	Monclova	Coahuila
38644	Torre Virreyes	Centro Poniente	Lomas-Virreyes	Miguel Hidalgo	Ciudad De México	Ciudad De México
38645	Plaza Central 	Centro Sur	Central De Abastos	Iztapalapa	Ciudad De México	Ciudad De México
38646	Carracci	Centro Poniente	Colonia San Juan	Benito Juárez	Ciudad De México	Ciudad De México
38647	Urban Center La Rioja	Occidente	Fraccionamiento La Rioja	Zapopan	Guadalajara	Jalisco
38648	La Huerta	Occidente	Col. La Huerta	Morelia	Morelia	Michoacán
38649	Sendero Villahermosa	Sureste	Jose Maria Pino Suarez	Villahermosa	Villahermosa	Tabasco
38650	Puerta Oeste	Noroeste	La Rioja	Hermosillo	Hermosillo	Sonora
38651	Via Vallejo	Centro Norte	Industrial Vallejo	Azcapotzalco 	Ciudad De México	Ciudad De México
38652	T1 S21	Centro Centro	Zona Federal Aeropuerto Internal Ciudad De Mexico	Venustiano Carranza	Ciudad De México	Ciudad De México
38653	Salon Ejecutivo T1 AICM	Centro Centro	Zona Federal Aeropuerto Internal Ciudad De Mexico	Venustiano Carranza	Ciudad De México	Ciudad De México
38654	Reforma 180	Centro Centro	Juárez	Cuauhtémoc	Ciudad De México	Ciudad De México
38655	3 Torres de Cd Juarez	Norte Centro	Partido Senecu	Ciudad  Juarez	Cd. Juárez	Chihuahua
38656	Viveros de la Loma	Centro Norte	Tlanepantla	Tlalnepantla	Estado De México	Estado De México
38657	Patio Lomas Estrella 	Centro Sur	Lomas Estrella	Iztapalapa	Ciudad De México	Ciudad De México
38658	Plaza Delta Planta Baja	Centro Centro	Narvarte	Benito Juárez	Ciudad De México	Ciudad De México
38659	Sendero Ixtapaluca 	Centro Sur	Ixtapaluca	Ixtapaluca	Estado De México	Estado De México
38660	Sania	Occidente	Vallarta Poniente	Guadalajara	Guadalajara	Jalisco
38661	Jinetes	Centro Norte	Atizapan De Zaragoza 	Atizapan De Zaragoza 	Estado De México	Estado De México
38662	Aeropuerto Cancun T3 Pa Ii	Sureste	Aeropuerto	Benito Juárez	Cancún	Quintana Roo
38663	Copilco 20	Centro Sur	Los Reyes	Coyoacán	Ciudad De México	Ciudad De México
38664	Camino Real Tijuana	Noroeste	Zona Rio	Tijuana  	Tijuana  	Baja California
38665	Galerias Celaya 	Bajío	Compuertas Del Campestre 	Celaya	Celaya	Guanajuato
38666	Paseo la Fe	Norte	Parque La Talaverna	San Nicolas	Monterrey	Nuevo León
38667	Hipodromo Caliente	Noroeste	Hipodromo	Tijuana  	Tijuana  	Baja California
38668	Pabellon Metepec	Centro Poniente	Las Jaras	Metepec	Estado De México	Estado De México
38669	Salamanca Power Town 	Bajío	Las Glorias 	Salamanca	Salamanca	Guanajuato
38670	Pabellon M	Norte	Centro	Monterrey	Monterrey	Nuevo León
38671	Plaza Carranza	Norte	El Kiosco Amp	Saltillo	Saltillo	Coahuila
38672	31 Oriente	Sur	Ladrillera De Benitez	Puebla	Puebla	Puebla
38673	Puerta Bajio	Bajío	San Jose De Las Piletas	León	León	Guanajuato
38674	Mundo E	Centro Norte	Tlanepantla	Tlalnepantla	Estado De México	Estado De México
38675	Cordoba centro	Sur	Col. Centro	Cordoba	Cordoba	Veracruz
38676	Miyana	Centro Centro	Ampliacion Granada	Miguel Hidalgo	Ciudad De México	Ciudad De México
38677	Patio la Raza	Centro Norte	San Francisco Xocotitla	Azcapotzalco 	Ciudad De México	Ciudad De México
38678	Power Center las Americas	Centro Sur	Fraccionamiento Las Americas 	Ecatepec De Morelos 	Estado De México	Estado De México
38679	Technology Park	Occidente	Nuevo Mexico 	Zapopan	Guadalajara	Jalisco
38680	Galerias Saltillo	Norte	Saltillo	Saltillo	Saltillo	Coahuila
38681	Torre Diana	Centro Centro	Cuauhtemoc	Cuauhtémoc	Ciudad De México	Ciudad De México
38682	Coatzacoalcos II	Sureste	Col. Rancho Alegre 1	Coatzacoalcos	Coatzacoalcos	Veracruz
38683	Plaza Aeropuerto Mty	Norte	Apodaca	Apodaca	Monterrey	Nuevo León
38684	Plaza Chimalhuacan	Centro Sur	Santa Maria Nativitas	Chimalhuacan	Estado De México	Estado De México
38685	Sendero La Fe	Norte	Col 30	Monterrey	Apodaca	Nuevo León
38688	Apto Mty TC SUE	Norte	Apodaca	Apodaca	Apodaca	Nuevo León
38689	Carretera Irapuato 	Bajío	El Carrizal 	Irapuato	Irapuato	Guanajuato
38690	Forum Cuernavaca	Sur	Chapultepec	Cuernavaca	Cuernavaca	Morelos
38691	Patio Revolución	Centro Sur	San Angel	Álvaro Obregón 	Ciudad De México	Ciudad De México
38692	Plaza Exhibimex	Centro Poniente	San Pedro De Los Pinos 	Álvaro Obregón 	Ciudad De México	Ciudad De México
38693	Fashion Mall Tampico	Norte	Primavera	Tampico	Tampico	Tamaulipas
38694	Villas de la Hacienda	Centro Norte	Atizapan De Zaragoza 	Atizapan De Zaragoza 	Estado De México	Estado De México
38695	Cetram 4 Caminos	Centro Norte	Fraccionamiento Industrial Naucalpan	Naucalpan 	Estado De México	Estado De México
38696	Zamora DT	Occidente	Fraccionamiento La Luneta	Zamora	Zamora	Michoacán
38698	Poniente 25	Sur	El Carmen	Puebla	Puebla	Puebla
38699	Puebla centro	Sur	Centro	Puebla	Puebla	Puebla
